Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,82.000000,84.599998,78.849998,79.500000,67.529312,562231620
2020-10-01,79.500000,86.750000,79.099998,79.550003,68.311783,571703907
2020-11-01,79.900002,94.199997,78.300003,91.000000,78.144211,817064714
2020-12-01,92.099998,98.650002,90.599998,95.099998,81.665001,639736835
2021-01-01,95.099998,103.599998,90.650002,91.300003,78.401840,768907724
2021-02-01,91.099998,98.900002,88.900002,95.300003,81.836746,710948527
2021-03-01,96.900002,99.800003,92.250000,92.550003,79.475250,665497576
2021-04-01,92.599998,94.949997,84.699997,84.949997,72.948914,606600398
2021-05-01,84.900002,85.199997,79.199997,84.449997,73.911621,761298621
2021-06-01,84.000000,84.050003,75.699997,76.050003,66.559845,560641708
2021-07-01,76.000000,76.000000,64.500000,68.150002,59.645676,750717455
2021-08-01,68.500000,70.449997,57.650002,60.400002,52.862785,731286066
2021-09-01,60.950001,62.650002,49.000000,53.250000,46.605022,1025211354
2021-10-01,52.500000,64.650002,48.799999,55.900002,49.882813,739074653
2021-11-01,54.200001,59.849998,53.799999,54.049999,48.231945,576297845
2021-12-01,54.549999,59.450001,53.849998,56.150002,50.105900,442546958
2022-01-01,56.799999,65.949997,55.599998,61.250000,54.656925,536916006
2022-02-01,61.799999,69.400002,59.500000,60.400002,53.898426,493419632
2022-03-01,60.700001,61.299999,45.799999,55.650002,49.659721,886763308
2022-04-01,55.250000,59.650002,47.549999,51.400002,45.867203,490727892
2022-05-01,51.400002,52.849998,45.849998,50.299999,44.885605,577206201
2022-06-01,48.099998,54.900002,45.799999,53.349998,47.607296,647735331
2022-07-01,53.250000,54.450001,46.000000,46.200001,42.760010,475308323
2022-08-01,46.650002,47.200001,42.549999,46.349998,42.898838,579021675
2022-09-01,45.799999,48.349998,37.750000,39.200001,36.281219,549781331
2022-10-01,39.200001,41.599998,31.299999,31.400000,29.764513,657485270
2022-11-01,31.799999,48.000000,31.400000,47.750000,45.262913,1120354766
2022-12-01,49.349998,53.099998,46.299999,51.650002,48.959782,811284236
2023-01-01,51.000000,65.099998,50.400002,60.700001,57.538406,800996761
2023-02-01,62.000000,62.000000,53.000000,53.299999,50.523838,551335902
2023-03-01,53.500000,58.000000,49.750000,51.099998,48.438427,674466532
2023-04-01,51.349998,58.250000,50.200001,56.700001,53.746750,455429511
2023-05-01,57.750000,61.700001,48.900002,49.700001,47.111347,627204077
2023-06-01,49.150002,54.099998,48.500000,49.849998,47.253532,497074311
2023-07-01,50.000000,57.450001,48.599998,56.250000,55.058605,514181554
2023-08-01,56.400002,56.849998,43.349998,46.950001,45.955585,826265628
2023-09-01,48.200001,50.299999,43.900002,44.849998,43.900059,534747298
2023-10-01,43.549999,45.650002,39.549999,40.099998,40.099998,528496594
2023-11-01,40.000000,42.650002,36.599998,38.900002,38.900002,643173012
2023-11-24,39.299999,39.650002,38.750000,38.900002,38.900002,20969754
